Beta max,Beta min,Beta mean,Beta std d,Beta Var,Alpha max,Alpha min,Alpha mean,Alpha std d,Alpha Var,Theta max,Theta min,Theta mean,Theta std d,Theta Var,Delta max,Delta min,Delta mean,Delta std d,Delta Var,Number
12.40215757,4.61423105,29.46813025,19.6238401,2.02E-06,1.50E-07,5.94E-06,0.000213819,0.200075995,0.026350116,0.101854661,0.155440566,1.038247015,0.270862707,1.382647471,1.495310169,1.077956863,0.073366606,1.911714028,2.235952501,0
16.75672333,15.32518543,14.89933873,37.07142854,1.12E-05,1.52E-06,6.07E-06,3.86E-05,0.317607136,0.093603629,0.088470535,0.221010276,1.67943374,0.964673776,0.89892687,2.682732728,2.820497686,0.930595494,0.808069517,7.197054892,0
9.626440785,10.09843335,27.23489854,92.4162542,3.78E-06,1.84E-07,1.43E-06,0.000124266,0.156711953,0.052310408,0.088202064,0.350387401,0.853944168,0.545663239,1.251918179,4.665802512,0.729220642,0.29774837,1.567299126,21.76971308,0
26.65228688,25.47408697,49.08249186,80.06262742,7.62E-07,6.31E-05,2.95E-06,8.34E-06,0.452309279,0.213228599,0.418876741,0.572851116,2.303608532,1.880571618,3.607268884,5.99039376,5.306612269,3.536549609,13.0123888,35.8848174,0
23.94449125,64.91671377,77.12307137,204.8265647,8.79E-07,6.82E-07,2.71E-05,0.000215683,0.395251876,0.255658372,0.34354092,1.214668257,2.017936882,3.436967087,3.942717634,12.51224453,4.07206926,11.81274276,15.54502235,156.5562633,0
29.74228956,198.6001434,183.4767401,174.9343197,3.75E-06,3.27E-05,3.15E-06,9.12E-05,0.627347285,0.762049907,0.838841895,0.780537153,3.14122212,9.72112935,10.62732877,9.318323189,9.867276408,94.50035585,112.9401167,86.83114706,0
61.04919298,147.223866,203.5266639,385.7346856,3.45E-05,3.27E-05,2.44E-05,1.82E-05,0.773100538,0.474372319,1.35281865,1.911596255,4.518344349,7.097355026,14.27601737,23.76522598,20.41543566,50.37244837,203.804672,564.7859658,0
62.93016485,147.1970241,119.8859424,102.9348734,0.000125786,1.78E-06,7.07E-05,0.000215421,0.607917161,0.58370316,0.689836689,0.620994306,3.771444439,7.075738967,7.544170279,6.977010145,14.22379315,50.06608194,56.91450519,48.67867057,0
24.74167784,121.5989836,32.10391729,38.9899661,6.85E-05,1.42E-05,3.00E-07,2.82E-05,0.318380653,0.395209146,0.202945088,0.139349103,1.918985072,5.599834722,1.979451946,1.879158875,3.682503707,31.35814892,3.918230006,3.531238076,0
15.38264288,13.97460444,16.65649964,39.34509212,7.16E-05,5.03E-07,9.47E-07,0.000106618,0.2722918,0.059655519,0.10620058,0.224625437,1.427808194,0.684329435,1.016870364,2.596959071,2.038636239,0.468306776,1.034025337,6.744196418,0
16.44697428,31.91101823,33.38151152,37.06714818,5.54E-05,5.59E-05,1.33E-07,3.70E-05,0.366551438,0.129651372,0.178962074,0.142672639,1.855192764,1.529411704,1.8110549,1.88678519,3.441740191,2.33910016,3.279919851,3.559958354,0
17.04110275,4.552720574,11.49896896,25.47951547,4.24E-06,2.45E-05,9.35E-06,0.000109679,0.170927159,0.032999565,0.076067285,0.140477055,1.188085815,0.289456606,0.775540655,1.46119345,1.411547904,0.083785126,0.601463308,2.135086299,0
6.096434168,6.733925355,8.342655838,36.01857044,9.54E-11,1.69E-06,1.47E-06,0.000146209,0.122024257,0.056168069,0.070512288,0.180959987,0.634487422,0.472256665,0.681815192,2.051763879,0.402574289,0.223026358,0.464871956,4.209735016,0
19.02818668,9.085011874,10.25040415,75.95384051,1.08E-05,1.13E-08,9.18E-06,0.000195445,0.277335935,0.05201318,0.062700045,0.226768322,1.423870606,0.577418365,0.670548604,3.431839953,2.027407503,0.333411968,0.449635431,11.77752546,0
20.81916213,19.7513946,15.48293665,47.22734603,2.21E-06,3.41E-06,4.42E-06,0.000155941,0.19272526,0.103697768,0.069200861,0.185626041,1.214314963,1.138200926,0.816747742,2.35150765,1.47456083,1.295501349,0.667076875,5.529588227,0
12.23990458,17.31105434,10.85042015,25.40633105,1.80E-05,3.29E-08,6.50E-07,0.00012721,0.227285012,0.094516522,0.097712214,0.142599212,1.192268443,0.985006005,0.880232085,1.572221796,1.421504039,0.970236829,0.774808523,2.471881377,0
15.15012346,75.23563853,452.2035601,1144.742177,3.44E-05,1.38E-06,0.000153488,1.66E-05,0.275324109,0.52033897,3.261619269,6.729907011,1.386006479,4.245507786,26.11214456,73.52270162,1.921013959,18.02433636,681.8440938,5405.587653,0
